title,Genre,Created by,Based on,Written by,Directed by,Starring,Narrated by,Composer,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Producers,Production locations,Cinematography,Editors,Camera setup,Running time,Production companies,Budget,Original network,Picture format,Audio format,Original release,Editor,Composers,Music by,Opening theme,Theme music composer,Story by,Production company,Presented by,Producer,Production location,Original languages,No. of series,Also known as,Screenplay by,Developed by,Executive producer,Ending theme,Voices of,Produced by,Edited by,Distributed by,Release date,Countries,Language
Mildred Pierce,Drama,,Mildred Pierce by James M. Cain,,Todd Haynes,"['Kate Winslet', 'Guy Pearce', 'Evan Rachel Wood', 'Melissa Leo']",,,United States,English,,5,,"['Todd Haynes', 'Christine Vachon', 'John Wells', 'Pamela Koffler', 'Ilene S. Landress']",,Edward Lachman,,,58–79 minutes,"['HBO', 'MGM Television', 'Killer Films', 'John Wells Productions']",$20 million,HBO,,,"March 27 ( 2011-03-27 ) – April 10, 2011 ( 2011-04-10 )",Affonso Gonçalves,,Carter Burwell,,,,,,,,,,,"['Todd Haynes', 'Jon Raymond']",,,,,,,,,,
Ja'mie: Private School Girl,Sitcom Mockumentary Comedy,Chris Lilley,,Chris Lilley,"['Chris Lilley', 'Stuart McDonald']",Chris Lilley,Chris Lilley,John Foreman,Australia United States,English,1,6,"['Laura Waters', 'Chris Lilley']","['Laura Waters', 'Chris Lilley']",,Nick Gregoric,,Single-camera,25–27 minutes,"['Princess Pictures', 'ABC', 'HBO']",,"['ABC1', 'HBO']","['PAL ( 576i )', 'HDTV 1080i (US/UK)']",Stereophonic,23 October ( 2013-10-23 ) – 27 November 2013 ( 2013-11-27 ),Ian Carmichael,,,,Chris Lilley,,,,,Melbourne,,,,,,,,,,,,,,
Parade's End,Period drama,,Novel by Ford Madox Ford,Tom Stoppard,Susanna White,Benedict Cumberbatch Rebecca Hall Adelaide Clemens,,Dirk Brossé,United Kingdom,English,,5 ( list of episodes ),Michel Buck Damien Timmer,David Parfitt Selwyn Roberts,,Mike Eley,,,57–59 minutes (five-part version) 46 minutes (six-part version) 287 minutes (full running time),,,BBC / HBO / VRT,,,24 August 2012 ( 2012-08-24 ) – 21 September 2012 ( 2012-09-21 ) ( BBC ) 26 February 2013 ( 2013-02-26 ) – 28 February 2013 ( 2013-02-28 ) ( HBO ),,,,,,,Mammoth Screen in association with HBO miniseries,,,,,1,,,,,,,,,,,,
Jonah from Tonga,Sitcom Mockumentary Comedy,Chris Lilley,,Chris Lilley,Chris Lilley Stuart McDonald,Chris Lilley,,John Foreman,Australia United States,English,1,6,Laura Waters Chris Lilley,Laura Waters Chris Lilley,"The Grange P-12 College , Hoppers Crossing , Melbourne , Australia",Nick Gregoric,,,26–27 minutes,Princess Pictures ABC HBO,,ABC iview (online) ABC1 (television),576i ( SDTV ),Stereo,"['ivew : 2 May 2014 ( 2014-05-02 ) – 4 May 2014 ( 2014-05-04 )', 'ABC : 7 May 2014 ( 2014-05-07 ) – 11 June 2014 ( 2014-06-11 )']",Ian Carmichael,,,,Chris Lilley,,,,,,,,,,,,,,,,,,,
Olive Kitteridge,Drama Tragedy,,Olive Kitteridge by Elizabeth Strout,,Lisa Cholodenko,"['Frances McDormand', 'Richard Jenkins', 'Zoe Kazan', 'Rosemarie DeWitt', 'Martha Wainwright', 'John Gallagher Jr.', 'Devin Druid', 'Jesse Plemons', 'Bill Murray', 'Peter Mullan']",,,United States,English,,4,,"['Gary Goetzman', 'Tom Hanks', 'Frances McDormand', 'Jane Anderson', 'Steve Shareshian', 'David Coatsworth']",,Frederick Elmes,,,233 minutes,HBO Miniseries Playtone As Is,,HBO,,,,Jeffrey M. Werner,,,,Carter Burwell,,,,,,,,,Jane Anderson,,,,,,,,,,
The Casual Vacancy,Drama,,The Casual Vacancy by J. K. Rowling,Sarah Phelps [1],Jonny Campbell [1],Monica Dolan Michael Gambon Keeley Hawes Rufus Jones Rory Kinnear Simon McBurney Julia McKenzie Abigail Lawrie,,Solomon Grey,United Kingdom,English,,3 [2] [3],Paul Trijbits Rick Senat Neil Blair J. K. Rowling [2],,,Tony Slater Ling,,,182 minutes,Brontë Film and Television,,BBC One (United Kingdom) HBO (United States and Canada),16:9 1080i,Stereo,15 February ( 2015-02-15 ) – 1 March 2015 ( 2015-03-01 ),Tom Hemmings,,,,,,,,Ruth Kenley-Letts [1],,,,,,,,,,,,,,,
Show Me a Hero,Drama,,Show Me a Hero by Lisa Belkin,"['David Simon', 'William F. Zorzi']",Paul Haggis,"['Oscar Isaac', 'Bob Balaban', 'Jim Belushi', 'Jon Bernthal', 'Dominique Fishback', 'Ilfenesh Hadera', 'LaTanya Richardson Jackson', 'Catherine Keener', 'Terry Kinney', 'Alfred Molina', 'Natalie Paul', 'Peter Riegert', 'Carla Quevedo', 'Winona Ryder']",,Nathan Larson,United States,English,,6 ( list of episodes ),"['David Simon', 'William F. Zorzi', 'Paul Haggis', 'Nina Kostroff Noble', 'Gail Mutrux']",,"Yonkers, New York Puerto Rico",Andrij Parekh,Jo Francis Kate Sanford,Single-camera,56–71 minutes,Blown Deadline Productions Pretty Pictures HBO Miniseries,,HBO,1080i ( HDTV ),,"August 16 ( 2015-08-16 ) – August 30, 2015 ( 2015-08-30 )",,,,,,,,,,,,,,,,,"""When the People Find Out"" by Steve Earle",,,,,,,
The Night Of,Crime drama,Richard Price Steven Zaillian,Criminal Justice by Peter Moffat,Richard Price Steven Zaillian,Steven Zaillian James Marsh,"['John Turturro', 'Riz Ahmed', 'Bill Camp', 'Payman Maadi', 'Poorna Jagannathan', ""Sofia Black-D'Elia"", 'Afton Williamson', 'Ben Shenkman', 'Jeannie Berlin', 'Paul Sparks', 'Ned Eisenberg', 'Nabil Elouahabi', 'Michael Kenneth Williams', 'Glenne Headly', 'Amara Karan', 'Kirk ""Sticky Fingaz"" Jones', 'Mohammad Bakri', 'Ashley Thomas', 'Paulo Costanzo', 'Chip Zien', 'Glenn Fleshler']",,Jeff Russo [1],United States,,,8 ( list of episodes ),"['Steven Zaillian', 'Richard Price', 'Jane Tranter', 'James Gandolfini', 'Peter Moffat', 'Garrett Basch']","['Mark A. Baker (pilot)', 'Scott Ferguson']","['Manhattan', 'New York City']","['Robert Elswit (pilot)', 'Igor Martinović']","['Jay Cassidy (pilot)', 'Nick Houy']",Single-camera,56–96 minutes,"['BBC Worldwide Productions', 'Bad Wolf', 'Film Rites']",,HBO,1080i ( HDTV ),Stereo,"July 10 ( 2016-07-10 ) – August 28, 2016 ( 2016-08-28 )",,,,,,,,,,,"['English', 'Urdu']",,,,,,,,,,,,,
Gunpowder,Period drama Thriller,,,['Ronan Bennett'],J Blakeson,"['Kit Harington', 'Peter Mullan', 'Mark Gatiss', 'Liv Tyler']",,,United Kingdom,English,,3 ( list of episodes ),"['Kit Harington', 'Ollie Madden', 'Daniel West', 'Stephen Wright']",,,Philipp Blaubach,,,60 minutes,,,['BBC One'],16:9 1080p,Stereo,21 October ( 2017-10-21 ) – 4 November 2017 ( 2017-11-04 ),,,,,,,Kudos,,Laurie Borg,,,1,,,"['Kit Harington', 'Daniel West']",,,,,,,,,
The Young Pope,Drama,Paolo Sorrentino,,"['Paolo Sorrentino', 'Stefano Rulli', 'Tony Grisoni', 'Umberto Contarello']",Paolo Sorrentino,"['Jude Law', 'Diane Keaton', 'Silvio Orlando', 'Javier Cámara', 'Scott Shepherd', 'Cécile de France', 'Ludivine Sagnier', 'Toni Bertorelli', 'James Cromwell', 'Stefano Accorsi']",,Lele Marchitelli,"['Italy', 'France', 'Spain']",,,10 ( list of episodes ),"['Lorenzo Mieli', 'Mario Gianani', 'Viola Prestieri', 'Paolo Sorrentino', 'Caroline Benjo', 'Carole Scotta', 'Simon Arnal', 'Jaume Roures', 'Javier Méndez', 'Tony Grisoni', 'John Lyons', 'Ron Bozman (pilot)', 'Nils Hartmann', 'Sonia Rovai', 'Roberto Amoroso']","['Jude Law', 'Ben Jackson']","['Rome', 'Venice', 'New York City', 'Los Angeles', 'South Africa']",Luca Bigazzi,,Single-camera,46–60 minutes,"['Wildside', 'Haut et Court TV', 'Mediapro']",,"['Sky Atlantic (Italy)', 'HBO (US)', 'Canal+ (France)']","['2160p ( UHD )', '1080i ( HDTV )']",,21 October ( 2016-10-21 ) – 18 November 2016 ( 2016-11-18 ),Cristiano Travaglioli,,,""" Watchtower "" (Instrumental) prod. by Labrinth",,,,,,,"['English', 'Italian']",,,,,,,,,,,,,
Catherine the Great,,,,Nigel Williams,Philip Martin,"['Helen Mirren', 'Jason Clarke', 'Rory Kinnear', 'Gina McKee', 'Kevin R. McNally', 'Richard Roxburgh', 'Joseph Quinn', 'Clive Russell', 'Paul Kaye', 'Paul Ritter']",,Rupert Gregson-Williams,"['United Kingdom', 'United States']",English,,4 ( list of episodes ),"['David M. Thompson', 'Charlie Pattinson', 'Philip Martin', 'Nigel Williams', 'Helen Mirren']",,"['Lithuania', 'Latvia', 'Russia']",Stuart Howell,"['Stuart Gazzard', 'Selina MacArthur']",,60 minutes,"['New Pictures', 'Origin Pictures', 'Sky Studios']",,"['Sky Atlantic (UK)', 'HBO (US)']","['1080i ( HDTV )', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']",3 October 2019 ( 2019-10-03 ),,,,,,,,,Jules Hussey,,,,,,,,,,,,,,,
Chernobyl,"['Historical drama', 'Disaster', 'Tragedy [1]']",Craig Mazin,,Craig Mazin,Johan Renck,"['Jared Harris', 'Stellan Skarsgård', 'Paul Ritter', 'Jessie Buckley', 'Adam Nagaitis', ""Con O'Neill"", 'Adrian Rawlins', 'Sam Troughton', 'Robert Emms', 'Emily Watson', 'David Dencik', 'Mark Lewis Jones', 'Alan Williams', 'Alex Ferns', 'Ralph Ineson', 'Barry Keoghan', 'Fares Fares', 'Michael McElhatton']",,Hildur Guðnadóttir,"['United States', 'United Kingdom']",English,,5,"['Craig Mazin', 'Carolyn Strauss', 'Jane Featherstone', 'Johan Renck [a]', 'Chris Fry [a]']",,"['Lithuania', 'Ukraine']",Jakob Ihre,"['Jinx Godfrey', 'Simon Smith']",Single-camera,65–78 minutes,"['HBO', 'Sky UK', 'Sister Pictures', 'The Mighty Mint', 'Word Games']",,"['HBO (US)', 'Sky Atlantic (UK)']",4K UHDTV 2160p HDR [b],5.1 surround,"May 6 ( 2019-05-06 ) – June 3, 2019 ( 2019-06-03 )",,,,,,,,,Sanne Wohlenberg,,,,,,,,,,,,,,,
Mrs. Fletcher,['Comedy'],Tom Perrotta,Mrs. Fletcher by Tom Perrotta,,,"['Kathryn Hahn', 'Jackson White', 'Owen Teague', 'Cameron Boyce', 'Domenick Lombardozzi', 'Katie Kershaw', 'Jen Richards']",,,United States,English,1,7 ( list of episodes ),"['Tom Perrotta', 'Helen Estabrook', 'Nicole Holofcener', 'Sarah Condon']","['Kathryn Hahn', 'Jeffrey T. Bernstein']",,Jeffrey Waldron,,Single-camera,30 minutes,,,HBO,,,"October 27 ( 2019-10-27 ) – December 8, 2019 ( 2019-12-08 )",Mark Sadlek,,Craig Wedren,,,,Rubber Stamp,,,,,,,,,,,,,,,,,
Our Boys,,"['Hagai Levi', 'Joseph Cedar', 'Tawfik Abu-Wael']",,,,"['Shlomi Elkabetz', 'Jony Arbid', 'Adam Gabay', 'Or Ben-Melech', 'Ruba Blal Asfour', 'Eyal Shikartzi', 'Lior Ashkenazi', 'Jacob Cohen']",,,United States Israel,,,10 ( list of episodes ),"['Hagai Levi', 'Joseph Cedar', 'Avi Nir', 'Alon Shtruzman', 'Karni Ziv', 'Peter Traugott', 'Rachel Kaplan', 'Noah Stollman', 'Michael Lombardo']",,,,,,,"['MoviePlus Productions', 'Keshet Media Group']",,HBO,,,"August 12 ( 2019-08-12 ) – October 7, 2019 ( 2019-10-07 )",,,,,,,,,,,Hebrew and Arabic,,,,,,,,,,,,,
Watchmen,"['Superhero', 'Dystopia', 'Action', 'Drama']",Damon Lindelof,"['Alan Moore (uncredited)', 'Dave Gibbons']",,,"['Regina King', 'Don Johnson', 'Tim Blake Nelson', 'Yahya Abdul-Mateen II', 'Andrew Howard', 'Jacob Ming-Trent', 'Tom Mison', 'Sara Vickers', 'Dylan Schombing', 'Louis Gossett Jr.', 'Jeremy Irons', 'Jean Smart', 'Hong Chau']",,,United States,English,1,9 ( list of episodes ),"['Damon Lindelof', 'Tom Spezialy', 'Nicole Kassell', 'Stephen Williams', 'Joseph E. Iberti']","['Karen Wacker', 'John Blair']","['United States', 'Wales']","['Alex Disenhof', 'Xavier Grobet', 'Gregory Middleton', 'Andrij Parekh', 'Chris Seager']","['David Eisenberg', 'Anna Hauger', 'Henk Van Eeghen']",,52–67 minutes,"['White Rabbit', 'Paramount Television', 'DC Entertainment', 'Warner Bros. Television']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","October 20 ( 2019-10-20 ) – December 15, 2019 ( 2019-12-15 )",,,"['Trent Reznor', 'Atticus Ross']",,,,,,,,,,,,,,,,,,,,,
Years and Years,"['Drama', 'Dystopian fiction', 'Political thriller', 'Science fiction', 'Black comedy [1]']",Russell T Davies,,Russell T Davies,"['Simon Cellan Jones', 'Lisa Mulcahy']","['Russell Tovey', 'Rory Kinnear', ""T'Nia Miller"", 'Ruth Madeley', 'Anne Reid', 'Jessica Hynes', 'Emma Thompson']",,,"['United Kingdom', 'United States']",English,,6,"['Simon Cellan Jones', 'Michaela Fereday', 'Lucy Richer', 'Russell T Davies', 'Nicola Shindler']",,,,,,57–60 minutes,,,"['BBC One (UK)', 'HBO (US)']",,,14 May ( 2019-05-14 ) – 18 June 2019 ( 2019-06-18 ),,,Murray Gold,,,,Red Production Company,,Karen Lewis,Manchester,,,,,,,,,,,,,,
I Know This Much Is True,,,I Know This Much Is True by Wally Lamb,"['Derek Cianfrance', 'Anya Epstein']",Derek Cianfrance,"['Mark Ruffalo', 'Melissa Leo', 'John Procaccino', 'Rob Huebel', 'Michael Greyeyes', 'Gabe Fazio', 'Juliette Lewis', 'Kathryn Hahn', ""Rosie O'Donnell"", 'Imogen Poots', 'Archie Panjabi', 'Philip Ettinger', 'Aisling Franciosi', 'Bruce Greenwood', 'Marcello Fonte', 'Harris Yulin']",Mark Ruffalo Marcello Fonte,,United States,,,6 ( list of episodes ),"['Wally Lamb', 'Anya Epstein', 'Ben Browning', 'Glen Basner', 'Lynette Howell Taylor', 'Gregg Fienberg', 'Mark Ruffalo', 'Derek Cianfrance']",,,Jody Lee Lipes,"['Ron Patane', 'Jim Helton', 'Malcolm Jamieson', 'Dean Palisch', 'Nico Leunen']",,59–80 minutes,"['Willi Hill', 'FilmNation Entertainment']",,HBO,,,"May 10 ( 2020-05-10 ) – June 14, 2020 ( 2020-06-14 )",,,Harold Budd,,,,,,Jeffrey T. Bernstein,,English Sicilian,,,,,,,,,,,,,
I May Destroy You,"['Psychological drama', 'Black comedy', 'Tragicomedy']",Michaela Coel,,Michaela Coel,"['Sam Miller', 'Michaela Coel']","['Michaela Coel', 'Weruche Opia', 'Paapa Essiedu']",,,"['United Kingdom', 'United States']",English [a],,12,"['Michaela Coel', 'Phil Clarke', 'Roberto Troni', 'Sam Miller', 'Jo McLellan']","['Simon Meyers', 'Simon Maloney']","['London, England', 'Ostia , Italy']",Adam Gillham,"['Christian Sandino-Taylor', 'Lindsey Woodward', 'Mike Phillips', 'Guy Bensley', 'John Dwelly', 'Amy Hounsell']",Single-camera,28–35 minutes,"['Various Artists Limited', 'FALKNA Productions']",,"['BBC One (UK)', 'HBO (US)']",1080i ( HDTV ),,7 June ( 2020-06-07 ) – 14 July 2020 ( 2020-07-14 ),,,,,,,,,,,,1,,,,,,,,,,,,
The New Pope,Drama,Paolo Sorrentino,,"['Paolo Sorrentino', 'Umberto Contarello', 'Stefano Bises']",Paolo Sorrentino,"['Jude Law', 'John Malkovich', 'Silvio Orlando', 'Cécile de France', 'Javier Cámara', 'Ludivine Sagnier', 'Maurizio Lombardi', 'Marcello Romolo', 'Mark Ivanir', 'Henry Goodman', 'Massimo Ghini', 'Ulrich Thomsen']",,Lele Marchitelli,"['Italy', 'France', 'Spain']",,,9 ( list of episodes ),"['Lorenzo Mieli', 'Mario Gianani', 'Riccardo Neri', 'Elena Recchia', 'Paolo Sorrentino', 'Jude Law', 'Caroline Benjo', 'Carole Scotta', 'Simon Arnal', 'Jaume Roures', 'Javier Méndez', 'Nils Hartmann', 'Sonia Rovai', 'Davide Bertoni']",,"['Rome', 'Venice', 'Abruzzo', 'United Kingdom']",Luca Bigazzi,,Single-camera,47–60 minutes,"['The Apartment', 'Wildside', 'Haut et Court TV', 'Mediapro', 'Sky Studios']",,"['Sky Atlantic (Italy)', 'HBO (US)', 'Canal+ (France)']","['2160p ( UHD ) [a]', '1080i ( HDTV )']","['Dolby Digital 5.1', 'Dolby Atmos [a]']",10 January ( 2020-01-10 ) – 7 February 2020 ( 2020-02-07 ),Cristiano Travaglioli,,,"['""Good Time Girl"" by Sofi Tukker (feat. Charlie Barker ) (episodes 1–6)', '"" Watchtower "" (Instrumental) prod. by Labrinth (episodes 7–9)']",,,,,Ben Jackson,,"['English', 'Italian']",,,,,,,,,,,,,
The Outsider,"['Crime drama', 'Mystery', 'Horror']",,The Outsider by Stephen King,,,"['Ben Mendelsohn', 'Bill Camp', 'Jeremy Bobb', 'Julianne Nicholson', 'Mare Winningham', 'Paddy Considine', 'Yul Vazquez', 'Jason Bateman', 'Marc Menchaca', 'Cynthia Erivo']",,,United States,English,,10 ( list of episodes ),"['Richard Price', 'Jason Bateman', 'Andrew Bernstein', 'Marty Bowen', 'Michael Costigan', 'Jack Bender (pilot only)']","['Ben Mendelsohn', 'Katharine Werner (pilot only)', 'David Auge']",,"['Igor Martinovic', 'Rasmus Heise', 'Zak Mulligan', 'Kevin McKnight']","['Leo Trombetta', 'Tad Dennis', 'Daniel James Scott', 'Dorian Harris']",,50–60 minutes,"['Aggregate Films', 'Temple Hill Entertainment', 'Pieface Inc.', 'Civic Center Media', 'MRC Television']",,HBO,,,"January 12 ( 2020-01-12 ) – March 8, 2020 ( 2020-03-08 )",,,"['Daniel Bensi', 'Saunder Jurriaans']",,,,,,,,,,,,Richard Price,,,,,,,,,
The Plot Against America,Drama Alternate history,David Simon Ed Burns,The Plot Against America by Philip Roth,,,"['Winona Ryder', 'Anthony Boyle', 'Zoe Kazan', 'Morgan Spector', 'Michael Kostroff', 'David Krumholtz', 'Azhy Robertson', 'Caleb Malis', 'Jacob Laval', 'John Turturro']",,,United States,English,,6 ( list of episodes ),"['Joe Roth', 'Jeff Kirschenbaum', 'Megan Ellison', 'Sue Naegle', 'Susan Goldberg', 'Ed Burns', 'Nina K. Noble', 'David Simon']",,,Martin Ahlgren,,,60 minutes,"['RK Films', 'Annapurna Television', 'Blown Deadline Productions']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","March 16 ( 2020-03-16 ) – April 20, 2020 ( 2020-04-20 )",,,,,,,,,Claire M. Shanley,,,,,,,,,,,,,,,
The Third Day,"['Drama', 'Mystery', 'Horror']","['Felix Barrett', 'Dennis Kelly']",,,,"['Jude Law', 'Katherine Waterston', 'John Dagleish', 'Mark Lewis Jones', 'Jessie Ross', 'Richard Bremmer', 'Paddy Considine', 'Emily Watson', 'Freya Allan', 'Börje Lundberg', 'Florence Welch', 'Paul Kaye', 'Naomie Harris', 'Nico Parker', 'Charlotte Gairdner-Mihell']",,,"['United Kingdom', 'United States']",English,,6 (+ 1 special),"['Brad Pitt', 'Dede Gardner', 'Jeremy Kleiner', 'Dennis Kelly', 'Felix Barrett', 'Marc Munden', 'Kate Crowe', 'Philippa Lowthorpe']","['Adrian Sturges', 'Gareth Collins']",,"['Benjamin Kračun', 'Ole Birkeland', 'David Chizallet']","['Nicolas Chaudeurge', 'Simon Smith', 'Dan Roberts', 'Luke Dunkley']",,"['57–61 minutes', '715 minutes (special)']","['Punchdrunk International', 'Plan B Entertainment', 'Sky Studios', 'Scott Free Productions']",,"['HBO', 'Sky Atlantic', 'Sky Arts (special)']","['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","September 14 ( 2020-09-14 ) – October 19, 2020 ( 2020-10-19 )",,"['Cristobal Tapia de Veer', 'Stephen Dobbie', 'Dickon Hinchliffe']",,,,,,,,,,,,,,,,,,,,,,
The Undoing,"['Drama', 'Mystery [1]', 'Psychological thriller [2]']",David E. Kelley,You Should Have Known by Jean Hanff Korelitz,David E. Kelley,Susanne Bier,"['Nicole Kidman', 'Hugh Grant', 'Édgar Ramírez', 'Noah Jupe', 'Lily Rabe', 'Matilda De Angelis', 'Ismael Cruz Córdova', 'Edan Alexander', 'Michael Devine', 'Donald Sutherland']",,,United States,English,,6,"['Celia Costas', 'Stephen Garrett', 'Bruna Papandrea', 'Per Saari', 'Nicole Kidman', 'David E. Kelley', 'Susanne Bier']",,,Anthony Dod Mantle,,,50–67 minutes,"['David E. Kelley Productions', 'Blossom Films', 'Made Up Stories', 'HBO Entertainment']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","October 25 ( 2020-10-25 ) – November 29, 2020 ( 2020-11-29 )",Ben Lester,,Evgueni Galperine and Sacha Galperine,""" Dream a Little Dream of Me "" by Nicole Kidman",,,,,['Deb Dyer'],,,,,,,,,,,,,,,
We Are Who We Are,Drama,"['Luca Guadagnino', 'Paolo Giordano', 'Francesca Manieri', 'Sean Conway']",an original idea by Paolo Giordano,"['Paolo Giordano', 'Francesca Manieri', 'Luca Guadagnino']",Luca Guadagnino,"['Chloë Sevigny', 'Jack Dylan Grazer', 'Alice Braga', 'Jordan Kristine Seamón', 'Spence Moore II', 'Scott Mescudi', 'Faith Alabi', 'Francesca Scorsese', 'Ben Taylor', 'Corey Knight', 'Tom Mercier']",,,"['Italy', 'United States']",,,8 ( list of episodes ),"['Lorenzo Mieli', 'Mario Gianani', 'Luca Guadagnino', 'Elena Recchia', 'Sean Conway', ""Francesco Melzi d'Eril"", 'Nick Hall']",,,"['Fredrik Wenzel', 'Yorick Le Saux', 'Massimiliano Kuveiller']",,,49—75 minutes,"['The Apartment Pictures', 'Wildside', 'Small Forward Productions', 'Sky Studios']",,"['HBO (US)', 'Sky Atlantic (Italy)']","['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","September 14 ( 2020-09-14 ) – November 2, 2020 ( 2020-11-02 )",Marco Costa,,Devonté Hynes,,,,,,Ron Bozman,,"['English', 'Italian']",,,,,,,,,,,,,
Landscapers,,Ed Sinclair,,Ed Sinclair,Will Sharpe,"['Olivia Colman', 'David Thewlis']",,,"['United States', 'United Kingdom']",English,,4,"['Olivia Colman', 'Jane Featherstone', 'Chris Fry', 'Ed Sinclair', 'Will Sharpe']",,,Erik Alexander Wilson BSC,,,,"['Sister', 'Sky Studios', 'South of the River Pictures']",,"['HBO (US)', 'Sky Atlantic (UK)']",,,"December 6 ( 2021-12-06 ) – December 27, 2021 ( 2021-12-27 )",,,,,,,,,Katie Carpenter,,,,,,,,,,,,,,,
Mare of Easttown,Crime drama,Brad Ingelsby,,Brad Ingelsby,Craig Zobel,"['Kate Winslet', 'Julianne Nicholson', 'Jean Smart', 'Angourie Rice', 'David Denman', 'Neal Huff', 'Guy Pearce', 'Cailee Spaeny', 'John Douglas Thompson', 'Joe Tippett', 'Evan Peters', 'Sosie Bacon', 'James McArdle']",,,United States,English,,7,"['Paul Lee', 'Mark Roybal', 'Craig Zobel', 'Kate Winslet', 'Brad Inglesby', ""Gavin O'Connor"", 'Gordon Gray', 'Ron Schmidt']",,"Delaware County , Chester County , Philadelphia, Pennsylvania [1]",Ben Richardson,"['Amy E. Duddleston', 'Naomi Sunrise Filoramo']",,58–66 minutes,"['Zobot Projects', 'Mayhem Pictures', 'Juggle Productions', 'Low Dweller Productions', 'wiip']",,HBO,"['HDTV 1080i', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","April 18 ( 2021-04-18 ) – May 30, 2021 ( 2021-05-30 )",,,Lele Marchitelli,,,,,,Karen Wacker,,,,,,,,,,,,,,,
Scenes from a Marriage,Drama,,Scenes from a Marriage by Ingmar Bergman,"['Hagai Levi', 'Amy Herzog']",Hagai Levi,"['Oscar Isaac', 'Jessica Chastain']",,,United States,English,,5,"['Hagai Levi', 'Michael Ellenberg', 'Oscar Isaac', 'Jessica Chastain', 'Lars Blomgren', 'Amy Herzog', 'M. Blair Breard', 'Daniel Bergman']",,,Andrij Parekh,,,56–63 minutes,"['Sheleg', 'Media Res', 'Endeavor Content', 'Filmlance']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","September 12 ( 2021-09-12 ) – October 10, 2021 ( 2021-10-10 )",Yael Hersonski,,Evgueni and Sacha Galperine,,,,,,Carver Karaszewski,,,,,,Hagai Levi,,,,,,,,,
The Baby,Horror comedy,"['Lucy Gaymer', 'Siân Robins-Grace']",,,,"['Michelle de Swarte', 'Amira Ghazalla', 'Amber Grappy', 'Albie Hills', 'Arthur Hills']",,Lucrecia Dalt,United Kingdom,English,,8,"['Naomi de Pear', 'Jane Featherstone', 'Carolyn Strauss', 'Siân Robins-Grace', 'Nicole Kassell']",,,"['Kate Reid', 'Ben Wheeler', 'Diana Olifirova']","['Gary Dollner', 'Mike Holliday', 'Adam Biskupski', 'Jo Walker']",,23–34 minutes,"['Sister', 'Sky Studios', 'Proverbial Pictures']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']",24 April ( 2022-04-24 ) – 12 June 2022 ( 2022-06-12 ),,,,,,,,,Lucy Gaymer,United Kingdom,,,,,,,,,,,,,,
Irma Vep,Comedy drama,Olivier Assayas,Irma Vep by Olivier Assayas,Olivier Assayas,Olivier Assayas,"['Alicia Vikander', 'Vincent Macaigne']",,Thurston Moore,"['United States', 'France']",,,8,"['Olivier Assayas', 'Alicia Vikander', 'Ravi Nandan', 'Hallie Sekoff', 'Stuart Manashil', 'Kevin Turen', 'Ashley Levinson', 'Sam Levinson', 'Sylvie Barthet', 'Daniel Delume']",,"Île-de-France , France","['Yorick Le Saux', 'Denis Lenoir']","['Marion Monnier', 'François Gédigier', 'Simon Jacquet']",Single-camera,46–58 minutes,"['A24', 'Vortex Sutra', 'The Reasonable Bunch', 'Little Lamb']",,"['HBO (United States)', 'OCS City (France)']","['HDTV 1080i', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['5.1 surround', 'Dolby Atmos [a]']","June 6 ( 2022-06-06 ) – July 25, 2022 ( 2022-07-25 )",,,,,,,,,Jes Anderson,,"['English', 'French']",,,,,,,,,,,,,
